Sign_Order,Sign_Order_Num,Fortune_Level,Poem_Title,Poem_Text,Holy_Meaning,Sign_Interpretation,Meaning_Explanation,Detailed_Explanation,DongPo_Commentary,BiXian_Commentary
第 21 籤,21,丙甲 (下下),須賈害範睢,與君夙昔結成冤，今日相逢顯惡緣，把好經文多諷誦，祈求戶內保嬋娟。,事無成、病禱愈、出不宜、訟有理、冤報冤、求神解、若欲貪、終必敗。,此籤系冤仇纏結。訟事最兇。急自耗財。和解爲妙。貴人佔之。謹和處世。多行善事。免遭兇禍。平人佔之。求神懺禮。遷善改過。可得人口平安。一切謀爲。均宜迴心向善。乃可逢凶化吉。冤家宜解不宜結。明者悟之。,夙昔結成冤。嫌釁不起自今日也。相逢顯惡緣。今茲正圖報復也。經文諷誦。示人迴心向善。存好心。行好事。感格神佛扶持。以冀解散也。嬋娟。指月光言。比譬婦女。言仰沐神佑。家中妻女人口。可保無恙。凡解冤釋患。禳病消災。均有感應。唯在善願甚切。可無憂也。嬋娟。十五月圓之候。時日或應在此。,或許過去因故與人結怨，而這些過節會因現在的相遇而發生衝突，對方也許會因此而有報復的行爲發生，此時必須多誦唸經文，將這些福報迴向給家人，尤其是家中的女眷，對方會針對家中的女性加以報復，只要一心向善，不可惡言相向，則可逢凶化吉，事發時機可能會是月圓之日，要多加小心注意。,舊有夙冤、作事隨緣、急宜向善、方保安全。力行好事、心契上天、變兇爲吉、出自福田。,前因損害用心機、只怕中間有險危、財物存留防耗散、更憂人口得傷悲。
第 22 籤,22,丙乙 (上吉),李泌七歲賦長歌,碧玉池中開白蓮，莊嚴色相自天然，生來骨格超凡俗，正是人間第一仙。,訟決勝、名易成、病即愈、財即盈、婚姻合、貴子生、家道成、百事亨。,此籤主瀟灑出塵之應。謀望須清高門路方可。一切財利塵俗事。不甚相宜。功名可許。當主翰苑清品。問孕恐涉空花。問病者。有意參玄學道則吉。佳世之人。亦恐辭座之忌。語皆着空故也。,池開白蓮。最爲清高妙品。但朝榮暮悴。光景無常。恐難久遠堅牢。骨格超凡。言生質之穎異也。第一仙。言其身列仙班也。功名佔此。必登清要之選。或系張留侯李鄴侯一流人物。尋常庸俗之人佔此。多虛花。少誠實。若問出世因由。登真正果。指日可望。上上大吉。,池中白蓮有出污泥而不染的清高之象，高貴清嚴的外表更是自然天成，但也有孤立清高之意，雖煞白天是欣欣向榮的感覺，但到了晚上，則所有花都休息了，有無法持久的意思。天生與衆不同，在別人眼中是相當特異獨行的，如果是高官貴族，則此簽有榮升之意，如果是一般的平凡百姓，表示口出空言，只有表面好看，其實內在相當空洞，要注意。如果是修道之人，則得道之日已不遠了。,事見明白、不假人爲、更宜出入、切莫遲疑。士人佔之、高攀桂枝、一切謀望、好趁明時。,更宜出入莫遲疑、士子高攀折桂枝、婚合自然生貴子、萬般謀望趁明時。
第 23 籤,23,丙丙 (下下),殷浩書空,花開花謝在春風，貴賤窮通百歲中，羨子榮華今已矣，到頭萬事總成空。,名與利、似虛花、訟不勝、病癒加、婚未合、行人賒、事無就、徒諮嗟。,此籤主前運起跌不常。富貴窮通。都經涉歷。後運則大不吉。如百花已經開過。從今搖落。無復榮華之望。是以萬事成空。總宜退謝。倘更勉強圖謀。徒勞罔功。終欠結果。,花開花謝。榮悴無常。運程似此。立睹更變之象。榮華已過。萬事成空。復何望哉。凡謀不吉。訟宜散。病防老。財不久。祿將終。婚無成。,人生運勢有好有壞，當好運來臨時，卻像風中花朵，輕易就被吹落，而壞運卻緊追而來，一切的富貴窮通早已在你的人生中經歷過了，但是榮華富貴早已流逝，不再回頭。如果能看透這一點，則較能釋懷，若是強求，也只是徒勞無功，不可能有收穫的，及早認清事實。,凡百謀望、有成有敗、始雖快意、終竟成害。吉中有兇、否生於泰、若不斂藏、後憂方大。,此籤大不終、花開遇暴風、榮華全剝落、病訟盡皆兇。
第 24 籤,24,丙丁 (中吉),端木結駟連騎,一春萬事苦憂煎，夏裏營求始帖然，更遇秋成冬至後，恰如騎鶴與腰纏。,名利有、莫躁爲、詞訟解、婚姻宜、行人遠、病瘥遲、富與貴、要待時。,此籤先難後易。官員佔之。有超擢之喜。士人佔之。晚成名利。凡百謀望。收成在後。近佔應在夏秋冬。遠佔應在晚景。不可因現在憂煎。自行墮志也。,昔有人。一欲富。一欲貴。一欲仙。一欲腰纏十萬貫。騎鶴上揚州。時揚州仕宦善地。稱爲富貴仙。是人慾兼而有之。故云爾。佔此者。名利俱全。榮華稱意。但應驗尚在收成結果之際。近時尚須耐守。必志向堅定。久久不移。方得成就也。流年春不利。夏稍可。秋冬全吉。,事情的開始，總是較爲艱難，或許會有重重險阻，只要立定志向，貫徹始終，最後的收成，會比自己想象得要容易，只要不放棄，必能達成目標，此籤也表示出了節令，在春天則無法成事，到了夏天則較可爲，如果是秋天到冬天，則絕對會成功，此籤更有名利雙收的表示，只要堅持到底，成功絕對沒有問題。,春日謀望、事多不成、夏秋冬月、始見光亨。更宜出入、福祿豐盈、營求如意、時至即行。,舟楫上高灘、險後得平安、勞心勤苦過、財氣不艱難。
第 25 籤,25,丙戊 (中平),芙蓉鏡下及第,寅午戌年多阻滯，亥子丑月漸亨嘉，待逢玉兔金雞會，枯木逢春自放花。,訟多憂、終則息、名利達、婚姻吉、孕欲保、作福力、問行人、歸有日。,此籤作事遲疑。至三冬謀望亨通。卯酉月日。應在次年。或應在遠年。枯木開花。言時運先蹇後泰。如秋冬枯落之木。一到春來。開花結果。自有一番更新氣象。後福未可量也。,寅午戌年。指歲運說。是時人事阻滯。不可進取。遇亥子醜。漸漸亨嘉。至卯酉大吉。名利成就。取青紫如拾芥。凡事先看年月。以詳運命。須合亥子醜卯酉等字。則遂意矣。君子得之主仕進。小人得之恩赦至。,在處理事務上，總是出現許多的遲疑，原來是受到時令的影響。此籤最主要是顯示出時令，當遇到虎、馬、狗年時，諸事不順，多受阻滯，但在每年的冬季時，則運勢會轉好，春夏秋季時則完全不行，當遇到兔及雞年時，會有枯木開花的榮景，也就是原本已不看好，但卻重現生機及活力，而且會有一番新的景象，由衰轉榮，而且後福不淺，會完全拋掉衰運。,春夏秋時、作事遲疑、直待三冬、百事亨通。卯酉月日、所謀則吉、待此時來、枯木花開。,謀事難成未可誇、枯木逢春始放花、敗了又成離又聚、及時雨露發光華。
第 26 籤,26,丙己 (中吉),邵堯夫告天,年來豐歉皆天數，祇是今年旱較多，與子定期三日內，田疇沾足雨滂沱。,名與利、今雖損、若遇時、便返本、訟可解、病可安、婚即合、行人還。,此籤謀事。先損後遂。問病。星運未順。三日後或遇庚日。可望痊可。所謂先庚三日。後庚三日也。訟即解。利即得。婚即成。行人三日內必至。禱雨三日內必降。凡事利達也。,窮通得喪。皆有天數。非人力可爲。凡百謀爲。厄於時勢。尚未順利。定期三日內。言轉盻間。即有生機也。庚者事之變。先庚三日爲丁。後庚三日爲癸。主是時變兇爲吉。名成利就。又當謹修慎守。不可妄動。須待氣機到時。自如枯苗得雨。大有勃然興起之象。,莊稼的豐收與歉收，完全都是由天決定，這是天地間的常理，無法由人力來改變。意謂着運勢的好壞，並非靠努力就可轉運，還是必須等待時機的到來。適逢今年運劫不佳，遇到了乾旱年，收成勢必會有影響，此籤表示出了時間籤，肯定在三天內會久旱逢甘霖，三天也表示很快的意思，讓田裏的莊稼有足夠的雨水，也表示衰運從此終結，開始順遂的好運道。,吉凶天數、目下多遁、直待時至、如木逢春。禱求皆應、定在三辰、謀望必遂、好事臨門。,吉凶天數竟如何、且待時來福氣和、祈禱定應三日內、營爲好事入門多。
第 27 籤,27,丙庚 (中平),項仲山飲馬投錢,世間萬物各有主，一粒一毫君莫取，英雄豪傑自天生，也須步步循規矩。,訟莫興、醫審病、名與利、付之命、行人遲、婚未定、凡百事、且安分。,此籤只宜守分。不可妄爲。若謀事返成災害。不可以大凌小。以富欺貧。訟宜和。名亦有。財緩求。行人阻。病徐安。婚莫急。凡事守己。待時爲得。,名利近不可得。久後自有成就。一毫莫取。戒勿爲貪心妄求之事。須循規矩。示作事當按部就班。不可凌獵無序。自取顛覆也。,天地間的萬事萬物，各有其所，不可因其小而取之，不可因其弱而欺之，身爲英雄豪傑，自有氣勢風範，不可因此而欺負弱小，更要收斂自己的氣勢，固守本分。不該是自己的東西，千萬不要貪得，必須循規蹈矩，成爲衆人讚賞的對象，必有後福。此籤主要告誡世人安分守己、不可妄爲，也有等待最佳時機到來之意。,富貴分定、切莫強求、若或妄取、必有後憂。且宜守舊、更務進修、心行平等、自獲天麻。,本分方可遇、欺凌必反災、妄爲難自保、依理福田來。
第 28 籤,28,丙辛 (上吉),司馬題橋,公侯將相本無種，好把勤勞契上天，人事盡從天裏見，才高豈得困林泉。,病與訟、久方解、名與利、姑少待、若失物、尋必在、雖暫困、終必泰。,此籤吉利。凡事切莫墮志。更須修心向善。自有好處。問訟久方決。名利稍遲。失物可尋。病宜作福禳解。行人久後必至。,功名富貴。勤苦可得。豈限白屋朱門之說。所謂本無種者也。目下雖困。終必逢時。但當自竭勤勞。人事已盡。天理無不準應。彼讀書者。才學既高。豈得久困林泉。不久即有飛騰之望。凡事皆然。唯先返求諸己可耳。,人世間的功名利祿，並非從天而降，只要辛勤地努力，必能達到，並沒有限制在這達官貴族之家，任何人都可以因爲勤勞及努力，而得到該有的回饋。所謂的“盡人事，聽天命”，當你辛苦努力地往上爬，上天豈有看不見的道理，才德及能力是無法被壓抑的，總有出頭天的時候，任何事情都是一樣，只要努力在先，沒有被忽略的道理，所以要先要求自己，就會有出人頭地的一天。,榮華富貴、勤苦得之、目下雖困、後必逢時。切勿自怠、更勉修爲、人事既盡、天理可知。,但存平等心、所作皆無慮、若不勤謹修、歡處必生愁。
第 29 籤,29,丙壬 (上吉),王孝先還妄贈金,祖宗積德幾多年，源遠流長慶自然，若更操修無倦己，天須還汝舊青氈。,天福善、產貴子、病者安、訟得理、名必遂、仍得利、行人歸、皆如意。,此籤士人佔之大吉。官員佔之高擢。庶人佔之終有發達。但要修心積善。方得源遠流長。不可變易祖德。自損心田。則亦有不應之時也。,凡事多得遂意。皆祖宗積德之所致。若又能順理而行。益加培植。則天之報施。決然不爽。青氈者。詩書傳家之舊物也。還乃失而復得。否而復泰之象。佔者須慎守之。,從以前到現在，都是順利如意的，不像別人歷經大風大浪，這一切的吉運，是來自於祖宗的積德，經過長時間的累積，到了你這一代才得以受到福廕，福運的流傳，是得自於天理自然，所以必須更知道珍惜，將這份善心加以延長，謹慎操守，讓福份能更加綿長，未來也將更加順遂。千萬不可因好運，而肆無忌憚地揮霍，將會招來厄運。,善惡胚胎、由人自栽、修善者泰、積惡者災。若能修持、福自天來、依舊榮華、自有安排。,積善之家、必有餘慶、子孫衆多、門戶昌盛、好修福祿、前程順意。
第 30 籤,30,丙癸 (中吉),柳毅傳書,奉公謹守莫欺心，自有亨通吉利臨，目下營求且休矣，秋期與子定佳音。,利雖有、莫妄作、訟宜和、病勿藥、名待時、婚有約、但存心、安且樂。,此籤目下不宜妄取。只宜守己。官員佔之。必有憂疑。若能謹守。自有佳音。士人佔之。且待時來。飛騰有日。庶人佔之。平安。凡有謀望。先難後易。不可躁進。安分守己。交秋自有遇合。,官吏佔此。現在風波。儒士佔此。目前沉困。官吏須奉公守法。儒士須積德存心。自有亨通之日。秋期佳音。應在秋後。七八九月間。主有好消息也。,現在周圍有些許的誘惑，你必須心存正念，不可受到影響，在自己的崗位上奉公守法，未來自有吉運降臨。目前有許多欲望在內心掙扎，時機還未成熟，倒不如先放下淨空，到了秋天必會有好運到來。此籤表示現在正陷入一種內心交戰的狀態，你越想得到，就越無法達成，只要從心做起，不求回報，自會有福德來臨，未來會有苦盡甘來的收穫。,公平處己、切莫自欺、福祿雖有、更宜待時。若要進取、未可施爲、凡百謀望、秋以爲期。,先難後易莫相欺、謀望營爲秋可宜、謹守定應多福祿、且須從緩待其時。
第 31 籤,31,丁甲 (中吉),狄仁傑白雲望親,秋冬作事只尋常，春到門庭漸吉昌，千里信音符遠望，萱堂快樂未渠央。,訟漸理、病漸康、財始達、名始彰、行人近、婚姻良、家道吉、福祿昌。,此籤秋冬平平。一切事宜。交春方有起色。千里好音。是時可至。高堂白髮。尤保康寧。守己待時。吉無不利。,佔此者。秋冬不能動作。運限平常。凡有謀望。須待來春。是時好音到耳。門庭吉昌。所謀順遂。萱堂母氏也。快樂無央。主母氏福壽綿長。,想要執行的事，在秋冬季是不會有太多回應的，只能以平凡來形容，但到了春季就不同了，可以感受到明顯的好運到來，而且會得到遠方來的好消息，而且有所成就，高堂上的老母因此感到無比的快樂，而且福壽雙全。此籤雖然表示秋冬只是平常，但依然要十分的努力，到了春天纔會有回收，如果因此而不努力，再好的運勢也是罔然。,凡事謀望、秋冬平平、春來運至、次第光亨。遠行有信、所作皆成、家道清吉、可保安寧。,凡事營求之必成、春來次第自通亨、門庭吉利皆平善、財物相應漸漸成。
第 32 籤,32,丁乙 (下下),盧杞陰司口舌,勞心汩汩竟何歸，疾病兼多是與非，事到頭來渾似夢，何如休要用心機。,訟終兇、名未通、病者險、財亦空、婚未合、是非叢、行人阻、事無終。,此籤謀事皆不如意。主口舌之擾。事雖有成。終必有敗。空勞心力。只有安分。不可妄爲。,佔者徒勞罔功。既防疾病。並多是非。當由平日慣用心機。損人利己。行險僥倖。當得此報。急宜矢願懺悔。存好心。行好事。挽回天意。方有轉機。若仍恃奸狡圖謀。正如夢幻泡影。醒來空自懊恨耳。豈有實在歸宿矣。,平常待人處事都是用盡心機，而且以私利爲前題，太過耗費心力的結果，卻無法有好的回報，連帶的疾病纏身，且引起口舌是非，最後還是一身空，想要解這個危機，必須從心做起，放下私利的心，一切向善，多作有益他人的事，必能挽回頹勢。修心還要修口，謹防口舌帶來的是非，必能轉回好運。,謀事不成、徒自勞心、口舌立至、禍患來侵。不如退步、暫避山林、隨其所在、可遇知音。,謀望事多差、徒勞心力賒、若求婚與利、口舌見交加。
第 33 籤,33,丁丙 (中吉),莊子慕道,不分南北與西東，眼底昏昏耳似聾，熟讀黃庭經一卷，不論貴賤與窮通。,訟莫爭、病難愈、名與利、莫貪取、問行人、信尚阻、能修善、有神助。,此籤不宜妄想。只宜謹守避禍。作福修善。自有神助。失意反成得意。無望反成有望。若貪圖躁進。不唯無益。更恐反遭不測。佔者慎之。,東西南北。四方也。眼昏耳聾。戒勿招惹是非也。言凡四方閒事。總宜避之則吉。黃庭經。乃是修道之書。讀者消遣。不爲貴賤窮通所縛。可得安靜之樂。凡事退守。動輒得咎。,分不清東西南北，眼睛看不清楚，耳朵也聽不到，表示不受外在環境的影響，只管自己的事，則可保平安。若多管閒事，則會招來厄運，而且會殃及池魚，必須要很小心，明明與自己無關的事，卻會惹來一身麻順。不如修養身息，不問俗事，不管貧富貴賤，平心處之，則可避禍。此時不宜急進，必須退守，動則招禍。,吉凶禍福、報應分明、若知祈禳、如谷應聲。無分貴賤、宜養精神、定則能慮、福自駢臻。,是非莫管、一任紛順、見如不見、聞如不聞。
第 34 籤,34,丁丁 (中吉),蕭何追韓信,春夏才過秋又冬，紛紛謀慮攪心胸，貴人垂手來相接，休把私心情意濃。,訟解憂、病漸瘳、財祿有、忌遠謀、行人動、婚莫求、防口舌、免悶愁。,此籤謀望難成。徒勞心力。幸有貴人接引。必須託以心腹。不得又聽邪佞之言。私心擬議。進退不決。失此機會也。,春夏秋冬。總計一年之久。謀慮紛紛。日久無成也。貴人相接。是好機緣。私意情濃。是自己遊移無主。聽信不實也。戒佔者切勿如此。則貴人可靠。謀望有成矣。,至少已經持續一年了，在你心裏不上不下，無法解決，就這樣日復一日，時間越拖越久，心裏越磨越煩，總是無法處理，好不容易有貴人出現，你必須敞開胸懷，真心以待，才能解決。如果你心存懷疑，又加上道聽塗說，讓自己猶豫不決，只是會失去這個機會，讓自己陷入深淵之中。目前出現的貴人是相當可信的，不要失去這個可貴的機會，則會有所成。,一歲營謀、未有發達、方得貴人、垂手提挈。漸漸亨通、可免激聒、莫信私人、巧語間諜。,訟解憂兮病漸瘳、財物凋零莫妄求、行人動作婚難就、口舌須防免唧啾。
第 35 籤,35,丁戊 (下下),王昭君和番,一山如畫對清江，門裏團圓事事雙，誰料半途分折去，空幃無語對銀缸。,訟終兇、宜謹防、病者險、主重喪、行人阻、財有傷、婚不合、謹行藏。,此籤先吉後兇。有始無終。防有盜賊之侵。死亡之慮。夫妻折散之憂。親友嫌隙之咎。主家業退敗。人口凋零。大凶之兆。急須種德挽回。庶可化兇爲吉也。,一山如畫。言墳宅風水頗好。門裏團圓。言現在家口亦安。奈浮雲變幻。吉凶無常。忽有半途分折之憂。空幃獨守。言淒涼不堪也。凡事得中有失。吉處藏兇。早宜思患預防。或可減半。,陰宅方位得山得水，是不錯的風水，目前家庭幸福、工作順利，但天有不測風雲，誰都無法預期到突然間會有巨大的變化，不只家道中落，還會有生離死別之苦，未來的淒涼之狀，令人垂淚，及早面對如此的災禍。此劫是無法避免的，雖然目前還是如意的狀態，也只是風雨前的寧靜，儘早預防，可減少傷害，天理循環，非你我可改。,墳宅雖吉、命運未通、家門招禍、好事成空。夫妻離散、骨肉西東、凡事不遂、有始無終。,漫誇根蒂自堅牢、到底須知力枉勞、設得十分奇巧計、卻妨中路被風濤。
第 36 籤,36,丁己 (上吉),謝安石東山高臥,功名富貴自能爲，偶着先鞭莫問伊，萬里鵬程君有分，吳山頂上好鑽龜。,名與利、在晚成、訟得理、病漸亨、問遠信、阻行程、婚可合、孕將生。,此籤不可躁進。欲速則不達也。功名富貴。遲速有時。待時而動則吉。鵬程有分。定可達到。名必成。財必遂。運程坦坦。轉瞬揚眉吐氣時也。,功名富貴。有志竟成。他人先鞭得意。不必羨慕。鵬程有分。科第無疑。不過稍遲耳。吳山系杭州山名。鑽龜。卜也。若問地方。當主浙省。凡事謀爲如意。先難後易。晚景榮華。,經過長時間的努力，功名利祿自然而成，看着別人總是先馳得點，也不必太忌妒，事有先後，不見得先努力就會先成功，每個人的機運不同，但此籤表示成就會較遲，並非不成，所以不必心急，默默努力，終會功成名就，急躁則會壞事。雖然現在顯得辛苦，但晚景必定順遂，爲了未來的享樂，只好現在辛苦點了。,富貴分定、遲速有時、藏器以待、切莫怨遲。掀天事業、時至即爲、若到天邊、便可決疑。,榮華有分、未得其時、他人早達、切莫恨遲。
第 37 籤,37,丁庚 (中吉),周孝侯射虎斬蛟,焚香來告復何辭，善惡平分汝自知，屏卻昧公心裏事，出門無礙是通時。,訟和吉、病禱安、名有望、財頗難、婚可合、行人還、宜向善、保團圓。,此籤顯然告人遷善去惡。秉心公正。自有通達之時。若不覺悟改悔。鬼神暗裏先知。何能掩蔽。恐不免咎殃之踵至也。,凡人爲善去惡。人雖不知。己獨知之。若使欺其不知。昧公濟私。損人利己。必至自招兇咎。戒佔者當公平正大。不欲勿施。自得人事亨通。全無阻滯。速宜返躬自問可也。,何必求神問卜才能知善惡，是非進退自在人心，你心理自有尺度，什麼是對、什麼是錯，公理自在人心。若要人不知，除非己莫爲，不可因爲他人不知而爲之，必須心存善念，不可有害人之心，因利己而損人，將會招來厄運，一旦排除了利己之心，一切所爲皆爲公正，不論何處，都能暢行無阻。,作善降祥、作惡降殃、何必禱神、當自揣量。公心莫昧、勉爲善良、前程遠大、可保安康。,計欲陷人終自陷、欺心暗裏鬼神知、若能改善求天福、轉禍爲祥事事宜。
第 38 籤,38,丁辛 (下下),關盼盼獨居燕子樓,吟蛩唧唧守孤幃，千里懸懸望信歸，等得榮華公子到，秋冬括括雨霏霏。,莫問財、休鬥訟、遠未回、病且重、婚無成、多怪夢、且禱神、勿妄動。,此籤主有死亡之患。哭泣之哀。凡事不利。有名無實。有始無終。家運凋零。前程蹇滯。作大陰功善事可解。,秋景孤幃。蟲聲唧唧。最爲淒涼苦況。千里懸懸。幾番盼望。等到榮華公子。似是好音。誰知意外不測。又生出一番苦惱。括括霏霏。正是不堪境象。凡事慎守爲佳。,獨守孤幃，只有蟲聲唧唧，是多麼淒涼的景象啊！只有靠着心中的意念維生，盼望着遠方的他能有好消息，好不容易等到了衣錦榮歸的伊人，卻又如夢一場，是那麼短暫，秋風愁雨，苦不堪言，令人哀悽。此籤是如此地悲苦，一切的厄運如影隨形，揮之不去。此時不宜有任何的決定，不如堅守本位，以不變應萬變，靜待世局的變化，再苦的運勢，就當作是上天給你的磨練。,作事無聊、空自惆悵、縱得好音、依然悽憐。謀望不遂、心神徒喪、家道未安、禱神陰相。,不宜問事不宜行、九日常憂十日驚、一段榮華如一夢、翻來覆去總無情。
第 39 籤,39,丁壬 (中平),陶淵明賞菊,北山門外好安居，若問終時慎厥初，堪笑包藏許多事，鱗鴻雖便莫修書。,病擇醫、訟宜解、謹修爲、過必改、財杳茫、名遲疑、婚宜慎、行須時。,此籤宜守舊。不可妄爲。作事謀始。無貽後悔。凡事謹密爲要。不可浪透信息。反此。則有意外之咎。,好安居。現有一安樂境界。慎厥初。須是早爲區畫。不可妄動。事多包藏。自具寬宏之志。修書慎重。莫通鱗鴻之音。機事不密則害成。更防口舌之釁也。,目前處於安樂生活，有點遠離塵囂的狀態。若想知道最後的結果，倒不如從最初開始就及早規劃，則會有美好的未來。你知道的事情相當多，但千萬不可走漏消息，尤其是有人向你打探消息，不如一笑置之，免得招來禍患。更謹防書信上的泄密，不可有‘別人不會知道’的心態，倒不如什麼都不說，將可保有安居樂業的生活。,靜處安身、是非莫理、欲保終吉、作事謀始。無惑人言、切防害己、勿輕傳信、暗中有鬼。,仁裏安居善自全、有時暗地結姻緣、對我好談心曲事、莫將隱奧與人傳。
第 40 籤,40,丁癸 (上吉),漢光武陷昆陽,新來換得好規模，何用隨他步與趨，只聽耳邊消息到，崎嶇歷盡見亨衢。,名終成、訟得勝、孕生男、保無病、行人回、婚宜定、事雖遲、有餘慶。,此籤謀望盡好。須是自己變更。莫聽人言主使。誤走程途。不久好音即到。始雖崎嶇難行。後自亨衢通利。是爲先難後易之象。,規模新換。去舊從新也。何用隨他。自作主張也。耳聽消息。好音即到。崎嶇歷盡。苦去甜來。亨衢。是康莊大路。一往平平坦坦。吉無不利也。佔者須謀爲決斷。志氣堅定始驗。,隨自己的意願做改變，將是最好的選擇，不須受他人的影響，他人的危言聳聽，將使你誤入歧述，要謹防受影響。即將有好消息的到來，儘管經歷過重重坎坷，接踵而來的將是康莊大道，先苦後甘。此籤表示先難後易之象，但最重要的是不要被別人的意見所左右，只要依自己的意願做個大改變，將會有美好的未來。,謀望更改、修爲盡好、何必依人、自可達到。須歷艱難、必獲好報、平步青霄、榮捧恩詔。,改換規模又一般、門庭增喜轉眉顏、文書到手皆成就、宜訟宜婚病亦安。
第 41 籤,41,戊甲 (上吉),李固柳汁染衣,自南自北自東西，欲到天涯誰作梯，遇鼠逢牛三弄笛，好將名姓榜頭題。,訟無定、終有遇、病多憂、擇醫愈、信即到、婚終好、凡所謀、慎勿躁。,此籤現在事務皆無定準。訟必反覆。婚有變易。遇子丑月日。或年分。可許遂意。功名初年艱難。子醜科青雲直上。吐氣揚眉。凡事先難後易。盡人事以待天時可也。,南北東西。乃男子四方之志。天涯遼遠。日前不得階梯。進身無路。待遇鼠逢牛之年。或月日。自有貴人提拔。士人聲譽洋溢。名登金榜。商賈財利勃發。家宅產業興隆。婚姻和合。冤枉申雪。凡事有成。時運未至不應。,男兒志在四方，但卻不知所措，任何一方都無出路，未來遠在天涯，卻不知從何處前進。等到鼠牛年交會之際，會得到貴人相助，可一舉成名或成就一番功業，所以現在要有所準備，一旦時機到來，則會有成。遠在鼠牛年，近在子丑月或日，忍耐目前的困頓及茫然，等待時機。,若求名利、先難後有、白日青雲、必在子醜。聲譽顯赫、題名榜首、百事亨通、顯然在後。,歷涉艱難、求謀未遂、富貴榮華、晚景順利。
第 42 籤,42,戊乙 (中吉),班定遠投筆從軍,我曾許汝事和諧，誰料修爲果自乖，但改新圖莫依舊，營謀應得稱心懷。,病更醫、訟改圖、名與利、換規模、婚別議、行人遲、神力助、謹修爲。,此籤宜反己問心。毋乖神意。恐有惡事惡念。急須改悔。前次所謀不合。從此更新整頓。自有稱心之時。若怙惡不悛。及畏難苟安者。則無濟也。,前事見許。本有機緣。修爲自乖。所謀欠妥。改新圖。另作計較。莫依舊。戒勿因循。營謀稱心。往者可復。失者可追。否則可泰也。凡事去舊從新之象。,原本神明給你一個順遂和諧的道路，但因自以爲是的個性，將天助好意破壞掉了，而且還懷有不好的念頭，在還沒害人之前，就會先害到自己，還是儘快將歹念去除，重新立定目標，只要沒有害人之心，未來更將得心應手，運勢得以否極泰來。不管任何事，都有除舊更新之意。,神許和合、自乖所爲、急須更變、方得其宜。心行正直、毋好自欺、若能悔過、天必相之。,改舊從新別有因、莫乖行止拂天神、管教中路多成就、穩趁舟航涉利津。
